Item,Value1,Value2,Value3
FAI-2,0.061,0.058,0.044
FAI-2-P1,-0.010,-0.002,-0.014
FAI-2-P2,0.001,0.010,-0.009
FAI-2-P3,-0.007,-0.009,-0.009
FAI-2-P4,0.004,-0.006,-0.010
FAI-2-P5,0.000,0.000,-0.001
FAI-2-P6,0.006,0.003,-0.010
FAI-2-P7,0.002,0.000,-0.017
FAI-2-P8,0.000,-0.005,-0.001
FAI-2-P9,0.001,-0.010,-0.009
FAI-2-P10,-0.003,0.000,-0.009
FAI-2-P11,-0.011,0.000,-0.007
FAI-2-P12,-0.011,0.006,-0.002
FAI-2-P13,-0.001,0.005,-0.009
FAI-2-P14,-0.005,0.002,-0.006
FAI-2-P15,0.000,0.019,0.010
FAI-2-P16,0.000,0.010,0.010
FAI-2-P17,0.000,0.010,0.015
FAI-2-P18,0.000,0.007,0.001
FAI-2-P19,0.012,0.013,0.008
FAI-2-P20,0.007,0.023,0.009
FAI-2-P21,0.026,0.008,0.007
FAI-2-P22,0.012,0.009,0.008
FAI-2-P23,0.015,0.015,0.018
FAI-2-P24,0.013,0.006,0.015
FAI-2-P25,0.024,0.017,0.018
FAI-2-P26,0.021,0.004,0.012
FAI-2-P27,0.021,0.005,0.010
FAI-2-P28,0.020,0.024,0.018
FAI-2-E1,-0.014,0.009,0.013
FAI-2-E2,-0.013,-0.012,-0.006
FAI-2-E3,-0.001,0.004,0.008
FAI-2-E4,-0.035,-0.031,-0.021
FAI-2-E5,-0.034,-0.033,-0.021
FAI-2-E6,-0.017,-0.034,-0.025
FAI-2-S1,-0.015,-0.025,-0.019
FAI-2-S2,-0.011,0.000,-0.009
FAI-2-S3,0.008,0.012,-0.002
FAI-29-M1,0.487,0.500,0.497
FAI-29-M2-R,0.489,0.497,0.497
FAI-29-M2-L,0.500,0.492,0.496
FAI-29-S7,0.492,0.493,0.498
FAI-29-S6,0.300,0.509,0.514
FAI-29-S5,0.534,0.502,0.536
FAI-29-S4,0.508,0.488,0.491
FAI-29-B-R,0.514,0.517,0.527
FAI-29-B-L,0.507,0.506,0.510
